"FAJ","FAJTA","ORSZAGKOD","FULSZAM","SZULETESI_EV","IVAR_KOD","APAORSKO","APAFULSZAM","ANYAORSKO","ANYAFULSZA","TENYESZET","TKV","TKO","FTIP","torzsbak_e","torzs_e"
"D","20","HU","7049022198","2011","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7030060808","2012","2","HU","7030048563","HU","7030024239","","b","",11,"nem","nem"
"D","20","HU","7019079449","2013","2","","","HU","7024019120","","E","",11,"nem","nem"
"D","20","HU","7050037202","2011","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7019088106","2013","1","HU","7019060542","HU","7019067073","","B","",11,"nem","nem"
"D","20","HU","7019079816","2013","2","HU","7019066410","HU","7009011208","","B","",11,"nem","nem"
"D","20","HU","7043021218","2012","2","HU","7011014507","HU","7043017192","","B","",11,"nem","nem"
"D","20","HU","7031020317","2006","2","","","","","","B",3,11,"nem","nem"
"D","20","HU","7059004647","2001","2","HU","7059004353","HU","7059004506","","B","",11,"nem","nem"
"D","20","HU","7009011349","2005","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7019066663","2011","2","HU","7019048380","HU","7019045642","","E","",11,"nem","igen"
"D","20","HU","7030059376","2011","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7038020758","2010","2","HU","7021005685","HU","7008077377","","E","",11,"nem","nem"
"D","20","HU","7030066242","2011","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7043020402","2010","2","","","","","","B","",11,"nem","nem"
"D","20","HU","7019060399","2010","2","HU","7019048377","HU","7019048351","","B","",11,"nem","igen"
"D","20","HU","7008076181","2003","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7019083578","2013","1","HU","7030044556","HU","7019056059","","E","",11,"nem","igen"
"D","20","HU","7019076826","2012","1","HU","7019055991","HU","7019053001","","B","",11,"nem","igen"
"D","20","HU","7043023900","2013","1","HU","7011014507","HU","7043021234","","K","",11,"nem","nem"
"D","20","HU","7026031900","2009","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7030049621","2014","2","HU","7019067495","HU","7030049283","","E","",11,"nem","nem"
"D","20","HU","7019091221","2014","2","HU","7019067648","HU","7019066407","","A","",11,"nem","nem"
"D","20","HU","7043029849","2014","2","HU","7019067622","HU","7043023591","","E","",11,"nem","nem"
"D","20","HU","7019091388","2014","2","HU","7019067648","HU","7019045642","","B","",11,"nem","nem"
"D","20","HU","7019091487","2014","2","HU","7025030450","HU","7019079184","","a","",11,"nem","nem"
"D","20","HU","7019091531","2014","2","HU","7025030450","HU","7019066379","","a","",11,"nem","nem"
"D","20","HU","7025037077","2014","2","HU","7038020873","HU","7038021720","","E","",11,"nem","nem"
"D","20","HU","7025037147","2014","2","HU","7038020873","HU","7038022015","","E","",11,"nem","nem"
"D","20","HU","7043024196","2014","2","HU","7019067622","HU","7043020910","","B","",11,"nem","nem"
"D","20","HU","7019091726","2014","2","HU","7019067648","HU","7009011419","","B","",11,"nem","nem"
"D","20","HU","7043025522","2014","2","HU","7036005834","HU","7003051442","","E","",11,"nem","nem"
"D","20","HU","7019083341","2014","2","HU","7019055991","HU","7019066069","","E","",11,"nem","nem"
"D","20","HU","7019082580","2014","2","HU","7019055991","HU","7019076347","","E","",11,"nem","nem"
"D","20","HU","7050053426","2014","2","HU","7050038399","HU","7025030380","","b","",11,"nem","nem"
"D","20","HU","7036023229","2011","2","","","","","","E","",11,"nem","nem"
"D","20","HU","7038021340","2011","2","HU","7038006057","HU","7038005944","","E","",11,"nem","nem"
"D","20","HU","7019077108","2012","1","HU","7019055991","HU","7019053113","","E","",11,"nem","nem"
"D","20","HU","7025026545","2012","2","HU","7038006057","HU","7008076181","","E","",11,"nem","nem"
"D","20","HU","7051033351","2012","2","","","","","","E","",11,"nem","nem"
